Filename From Zip,Source URL,Post Date/Time,Username,Followers,Engagement Rate,Like Count,Comment Count,Location,Post Type,Caption,Hashtags,Mentions,Image/Video URL
dr.1-CHqyXLapG3w.jpg,https://www.instagram.com/p/CHqyXLapG3w,11/16/2020,dr.1,125,0.16,19,1,,image,#envpsy #envpsyw4 anthropometric ergonomics: this height-adjustable chair comfortably facilitates a favorable posture while working,"envpsy, envpsyw4",,https://instagram.fgdl3-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/125489634_166685978472250_6829163417496651748_n.jpg?_nc_ht=instagram.fgdl3-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=xwBR1HM_vocAX9bMPmm&tp=1&oh=99d41e666bcbd05284fa75efd233a99f&oe=5FFCCCE2
charlottegillis_room-CHgPf-Zlati.jpg,https://www.instagram.com/p/CHgPf-Zlati,11/12/2020,charlottegillis_room,3,2.6667,4,4,,image,Donlon dorm rooms have huge windows. This can be because of the HER process of light. People have an overwhelming preference for natural light. Light also has a lot of influence on our perspective of different spaces. The large windows allow for more natural light in the dorm rooms. #envpsyw4 #envpsy,"envpsyw4, envpsy",,https://instagram.felp1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/125083547_2431887097106894_5769961876104900851_n.jpg?_nc_ht=instagram.felp1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=_RDKNSJitIoAX9ZLXB4&tp=1&oh=25552291b39f81810f68963fa45efc21&oe=5FFABCCD
dea1500sm-CHseVj9FXLB.jpg,https://www.instagram.com/p/CHseVj9FXLB,11/17/2020,dea1500sm,6,1.3333,3,5,,image,"#envpsyw4 HER Process：Light. Ther is a big window in my room, which maximize the natural light entered in. When the weather is good, the view would make my day.I love spend time on this￼ place, so does my dog.",envpsyw4,,https://instagram.fcyw3-1.fna.fbcdn.net/v/t51.2885-15/e35/125909680_829554224474544_6397253076839095258_n.jpg?_nc_ht=instagram.fcyw3-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=WeDwnZdMUEIAX9mSrFs&tp=1&oh=95e4d22b33e69203277168c303d80669&oe=5FFA7067
tatr_dea1500-CH1QlNdh0X4.jpg,https://www.instagram.com/p/CH1QlNdh0X4,11/21/2020,tatr_dea1500,3,2.6667,4,4,,image,#envpsy #envpsyw4 Casa Lapin Café in Bangkok. This cafe shows the HER process of light. It has huge windows allowing for a lot of natural light. You can see that people gravitate toward the windows as well.,"envpsy, envpsyw4",,https://instagram.fsti4-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/126527814_432964004361091_5343798804703899854_n.jpg?_nc_ht=instagram.fsti4-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=x-sY6xTuu2MAX-KftgI&tp=1&oh=5f62fa3dbd2abf73454312f2c185f8c7&oe=5FFCFD7B
tatr_dea1500-CH1QlNdh0X4.jpg,https://www.instagram.com/p/CH1QlNdh0X4,11/21/2020,tatr_dea1500,3,2.6667,4,4,,image,#envpsy #envpsyw4 Casa Lapin Café in Bangkok. This cafe shows the HER process of light. It has huge windows allowing for a lot of natural light. You can see that people gravitate toward the windows as well.,"envpsy, envpsyw4",,https://instagram.fsti4-2.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/126507742_711077683171279_5082779517546903403_n.jpg?_nc_ht=instagram.fsti4-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=tPu0p46iW-AAX8WiCBk&tp=1&oh=201eb6fd5b020b049093320776c0b72b&oe=5FFBC045
nab.ihaz-CHjNP-ElM3J.jpg,https://www.instagram.com/p/CHjNP-ElM3J,11/13/2020,nab.ihaz,11,0.8182,6,3,,image,"HER Process: Light 

I use a mixture of natural and artificial light in my room to create the perfect ambience for studying since white light is too harsh. I am grateful that I have large windows because I often prefer natural lighting like most people do #envpsyw4",envpsyw4,,https://scontent-frt3-2.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/125010385_214112150072965_5232395232561760921_n.jpg?_nc_ht=scontent-frt3-2.cdninstagram.com&_nc_cat=101&_nc_ohc=35jHEZjpOv0AX-sUaSj&tp=1&oh=199fc5a3f9c3c7718a195b6d8744aed8&oe=5FFC5B7D
lynn.7897-CHmxM97gOv3.jpg,https://www.instagram.com/p/CHmxM97gOv3,11/15/2020,lynn.7897,2,1.5,2,1,,image,#envpsy #envpsyw4 her process: light. The large amounts of natural light keep me productive during the day,"envpsy, envpsyw4",,https://instagram.flap2-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/125269445_734485117415875_6229902428959447283_n.jpg?_nc_ht=instagram.flap2-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=CZaSGnwdqOgAX8Y05uR&tp=1&oh=b42fbc4ef30a277c4de4ea1282aa90a5&oe=5FFB10E4
dea1500alyssa-CHijfumnTw3.jpg,https://www.instagram.com/p/CHijfumnTw3,11/13/2020,dea1500alyssa,3,5.3333,3,13,Kay Hall,image,"This week we talked about the HER process of color. In the beginning of Friday’s lecture we discussed studies that showed red facilitates tasks with attention, detail, and focus and blue facilitates tasks with creativity. This immediately made me think of the lounges in Kay Hall. One lounge is painted red, while the lounge right next to it is painted blue. The color of the walls may dictate the tasks that would be completed most effectively in each room. Creative tasks, such as playing the piano, would be best done in the blue room. Attentive tasks, such as math or engineering homework, would be best done in the red room. #envpsy #envpsyw4","envpsy, envpsyw4",,https://instagram.fpoa8-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/125477273_663029107707100_843010707333560613_n.jpg?_nc_ht=instagram.fpoa8-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=YPnPkUy07xgAX-wN61P&tp=1&oh=63c373cd1e3d2496b5507913d299a0ba&oe=5FFD4FA5
dea1500alyssa-CHijfumnTw3.jpg,https://www.instagram.com/p/CHijfumnTw3,11/13/2020,dea1500alyssa,3,5.3333,3,13,Kay Hall,image,"This week we talked about the HER process of color. In the beginning of Friday’s lecture we discussed studies that showed red facilitates tasks with attention, detail, and focus and blue facilitates tasks with creativity. This immediately made me think of the lounges in Kay Hall. One lounge is painted red, while the lounge right next to it is painted blue. The color of the walls may dictate the tasks that would be completed most effectively in each room. Creative tasks, such as playing the piano, would be best done in the blue room. Attentive tasks, such as math or engineering homework, would be best done in the red room. #envpsy #envpsyw4","envpsy, envpsyw4",,https://instagram.fpoa8-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/125200196_690664968537119_3528469613622097286_n.jpg?_nc_ht=instagram.fpoa8-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=5vBqNB4QB_kAX93b4gv&tp=1&oh=80d4c8365be27b018bded05736a4220b&oe=5FFDE64E
dea1500alyssa-CHijfumnTw3.jpg,https://www.instagram.com/p/CHijfumnTw3,11/13/2020,dea1500alyssa,3,5.3333,3,13,Kay Hall,image,"This week we talked about the HER process of color. In the beginning of Friday’s lecture we discussed studies that showed red facilitates tasks with attention, detail, and focus and blue facilitates tasks with creativity. This immediately made me think of the lounges in Kay Hall. One lounge is painted red, while the lounge right next to it is painted blue. The color of the walls may dictate the tasks that would be completed most effectively in each room. Creative tasks, such as playing the piano, would be best done in the blue room. Attentive tasks, such as math or engineering homework, would be best done in the red room. #envpsy #envpsyw4","envpsy, envpsyw4",,https://instagram.fpoa8-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/124382740_417679886073719_8229833477900001220_n.jpg?_nc_ht=instagram.fpoa8-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=q3gVb_gJH40AX-nokag&tp=1&oh=3c4a06ab8d69e9198d59c7cd9372f336&oe=5FFC8825
